,Unnamed: 0,Unnamed: 0.1,country,date,confirmed,deaths,recovered,latitude,longitude,confirmed_log
101,101,107,Senegal,2020-03-22 00:00:00+00:00,67,0,5,14.497401000000002,-14.452362,4.219507705176107
102,102,108,Serbia,2020-03-22 00:00:00+00:00,222,2,1,44.016521,21.005859,5.40717177146012
103,103,109,Singapore,2020-03-22 00:00:00+00:00,455,2,144,1.352083,103.819836,6.1224928095143865
104,104,110,Slovakia,2020-03-22 00:00:00+00:00,185,1,7,48.669026,19.699024,5.225746673713202
105,105,111,Slovenia,2020-03-22 00:00:00+00:00,414,2,0,46.151241,14.995463,6.028278520230697
106,106,112,South Africa,2020-03-22 00:00:00+00:00,274,0,0,-30.559482,22.937506,5.616771097666573
107,107,113,Spain,2020-03-22 00:00:00+00:00,28768,1772,2575,40.463667,-3.74922,10.267053697512587
108,108,114,Sri Lanka,2020-03-22 00:00:00+00:00,82,0,3,7.873054,80.77179699999998,4.418840607796597
109,109,115,Suriname,2020-03-22 00:00:00+00:00,5,0,0,3.919305000000001,-56.02778299999999,1.791759469228055
110,110,116,Sweden,2020-03-22 00:00:00+00:00,1934,21,16,60.128161,18.643501,7.567862605463882
111,111,117,Switzerland,2020-03-22 00:00:00+00:00,7245,98,131,46.818188,8.227511999999999,8.888204871455024
112,112,118,Syria,2020-03-22 00:00:00+00:00,1,0,0,34.802075,38.99681500000001,0.6931471805599453
113,113,120,Tanzania,2020-03-22 00:00:00+00:00,12,0,0,-6.369028,34.888822,2.5649493574615367
114,114,121,Thailand,2020-03-22 00:00:00+00:00,599,1,44,15.870032,100.992541,6.396929655216146
115,115,122,Timor-Leste,2020-03-22 00:00:00+00:00,1,0,0,-8.874217,125.727539,0.6931471805599453
116,116,123,Trinidad and Tobago,2020-03-22 00:00:00+00:00,50,0,1,10.691803,-61.222503,3.9318256327243257
117,117,124,Tunisia,2020-03-22 00:00:00+00:00,75,3,1,33.886917,9.537499,4.330733340286331
118,118,125,Turkey,2020-03-22 00:00:00+00:00,1236,30,0,38.963745,35.243322,7.120444372392488
119,119,126,Ukraine,2020-03-22 00:00:00+00:00,73,3,1,48.379433,31.16558,4.30406509320417
120,120,127,United Kingdom,2020-03-22 00:00:00+00:00,5703,281,67,55.378051,-3.435973,8.648922962094131
121,121,128,Uruguay,2020-03-22 00:00:00+00:00,135,0,0,-32.522779,-55.765835,4.9126548857360515
122,122,129,US,2020-03-22 00:00:00+00:00,33193,417,178,37.09024,-95.712891,10.410124415680663
123,123,130,Venezuela,2020-03-22 00:00:00+00:00,70,0,15,6.42375,-66.58973,4.262679877041316
124,124,131,Vietnam,2020-03-22 00:00:00+00:00,113,0,17,14.058324,108.277199,4.736198448394496
125,125,132,Zambia,2020-03-22 00:00:00+00:00,3,0,0,-13.133897,27.849332,1.3862943611198906
